,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price
2804,MARUTIRITZ,MARUTI,Bangalore,2010,27355,2,Petrol,507000,371399,0,371399
2805,MARUTIRITZ,MARUTI,Bangalore,2010,41714,2,Petrol,507000,344299,0,344299
2806,MARUTISWIFT,MARUTI,Bangalore,2020,15493,2,Petrol,734000,809499,30100,779399
2807,MARUTIALTO 800,MARUTI,Bangalore,2014,19600,1,Petrol,1040000,297799,0,297799
2808,MARUTIRITZ,MARUTI,Bangalore,2010,75030,1,Petrol,507000,349799,0,349799
2809,FORDECOSPORT,FORD,Bangalore,2019,12652,1,Diesel,734000,1139899,32800,1107099
2810,TATATIAGO,TATA,Bangalore,2020,9445,2,Petrol,734000,696399,13800,682599
2811,MARUTISWIFT DZIRE,MARUTI,Bangalore,2013,46669,1,Petrol,1040000,542699,0,542699
2812,MAHINDRAXUV500,MAHINDRA,Bangalore,2019,39818,1,Diesel,507000,1579099,143100,1435999
2813,MARUTIEECO,MARUTI,Bangalore,2020,7842,2,Petrol,734000,479399,0,479399
2814,TOYOTACOROLLA ALTIS,TOYOTA,Bangalore,2012,75425,2,Petrol,362000,499799,0,499799
2815,MARUTICIAZ,MARUTI,Bangalore,2017,31425,1,Diesel,338000,914699,0,914699
2816,HYUNDAIVENUE,HYUNDAI,Bangalore,2020,19094,1,Petrol,734000,918699,17100,901599
2817,HYUNDAII20,HYUNDAI,Bangalore,2010,56929,2,Petrol,507000,356699,5000,351699
2818,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2019,4190,1,Petrol,734000,611399,19300,592099
2819,TOYOTAETIOS LIVA,TOYOTA,Bangalore,2013,65941,1,Petrol,362000,504099,9600,494499
2820,HYUNDAII10,HYUNDAI,Bangalore,2010,95482,1,Petrol,507000,297699,5900,291799
2821,HYUNDAIEON,HYUNDAI,Bangalore,2014,28617,2,Petrol,280000,307099,16000,291099
2822,KIASELTOS,KIA,Bangalore,2019,11689,1,Petrol,734000,1812299,230500,1581799
2823,MARUTISWIFT,MARUTI,Bangalore,2018,30388,2,Diesel,338000,724699,0,724699
2824,MARUTISWIFT,MARUTI,Bangalore,2012,85438,1,Petrol,362000,467199,5000,462199
2825,MARUTINEW  WAGON-R,MARUTI,Bangalore,2021,12970,1,Petrol,734000,601799,0,601799
2826,TOYOTAURBAN CRUISER,TOYOTA,Bangalore,2021,10074,1,Petrol,734000,1105299,23500,1081799
2827,RENAULTDUSTER,RENAULT,Bangalore,2015,42983,1,Diesel,362000,686699,0,686699
2828,HYUNDAII10,HYUNDAI,Bangalore,2015,27690,2,Petrol,362000,390699,8800,381899
2829,MARUTIVITARA BREZZA,MARUTI,Bangalore,2021,12555,1,Petrol,715000,1052699,0,1052699
2830,MARUTISWIFT DZIRE,MARUTI,Bangalore,2015,37712,1,Diesel,362000,741699,16300,725399
2831,MARUTISWIFT,MARUTI,Bangalore,2021,10263,1,Petrol,948000,833499,37000,796499
2832,MARUTICELERIO,MARUTI,Bangalore,2017,13268,2,Petrol,338000,534099,0,534099
2833,MARUTIVITARA BREZZA,MARUTI,Bangalore,2020,14630,1,Petrol,734000,1249499,46500,1202999
2834,MARUTISWIFT,MARUTI,Bangalore,2017,31806,1,Diesel,740000,656599,5000,651599
2835,HYUNDAIVENUE,HYUNDAI,Bangalore,2021,13994,1,Petrol,948000,920499,52900,867599
2836,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2020,1861,1,Petrol,734000,632399,15500,616899
2837,HYUNDAICRETA,HYUNDAI,Bangalore,2020,24097,1,Diesel,715000,1283999,26700,1257299
2838,MARUTISWIFT,MARUTI,Bangalore,2012,97425,1,Diesel,362000,437399,0,437399
2839,MARUTIRITZ,MARUTI,Bangalore,2013,85563,2,Diesel,362000,475799,22800,452999
2840,MARUTISWIFT,MARUTI,Bangalore,2021,39085,1,Petrol,507000,804299,39100,765199
2841,FORDECOSPORT,FORD,Bangalore,2014,54753,2,Diesel,362000,626399,0,626399
2842,MARUTIRITZ,MARUTI,Bangalore,2010,62308,2,Petrol,507000,317199,10000,307199
2843,HYUNDAICRETA,HYUNDAI,Bangalore,2022,9548,1,Diesel,948000,2003999,77200,1926799
2844,TOYOTAURBAN CRUISER,TOYOTA,Bangalore,2021,11821,1,Petrol,715000,1107899,0,1107899
2845,MARUTISWIFT DZIRE,MARUTI,Bangalore,2016,61599,1,Petrol,204000,657599,6600,650999
2846,HONDABRIO,HONDA,Bangalore,2015,45914,1,Petrol,362000,459599,0,459599
2847,RENAULTDUSTER,RENAULT,Bangalore,2019,22797,1,Diesel,948000,1071799,25500,1046299
2848,HYUNDAIGRAND I10 NIOS,HYUNDAI,Bangalore,2021,2135,1,Petrol,948000,753999,0,753999
2849,TOYOTAURBAN CRUISER,TOYOTA,Bangalore,2021,11352,1,Petrol,507000,1105599,5000,1100599
2850,MARUTIRITZ,MARUTI,Bangalore,2013,66671,1,Petrol,362000,426799,15200,411599
2851,MARUTIALTO K10,MARUTI,Bangalore,2012,30579,1,Petrol,362000,314999,5000,309999
2852,HYUNDAICRETA,HYUNDAI,Bangalore,2016,37490,1,Diesel,362000,1203599,27300,1176299
2853,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,41028,1,Diesel,630000,1775699,18000,1757699
2854,VOLKSWAGENPOLO,VOLKSWAGEN,Bangalore,2015,92471,2,Petrol,204000,568699,0,568699
2855,HYUNDAII20,HYUNDAI,Bangalore,2011,65247,3,Petrol,507000,348299,9800,338499
2856,HYUNDAICRETA,HYUNDAI,Bangalore,2016,33615,2,Diesel,1040000,1193999,0,1193999
2857,KIASONET,KIA,Bangalore,2020,10806,1,Petrol,734000,1364499,158800,1205699
2858,MARUTISWIFT DZIRE,MARUTI,Bangalore,2016,94477,1,Diesel,715000,650599,5000,645599
2859,HYUNDAII20,HYUNDAI,Bangalore,2011,62119,2,Petrol,507000,370399,5000,365399
2860,MARUTICELERIO,MARUTI,Bangalore,2018,16726,2,Petrol,338000,539499,5400,534099
2861,MARUTIBALENO,MARUTI,Bangalore,2022,4902,1,Petrol,734000,855499,5000,850499
2862,HYUNDAII10,HYUNDAI,Bangalore,2012,69922,1,Petrol,362000,361499,0,361499
2863,MARUTISWIFT,MARUTI,Bangalore,2015,32667,1,Petrol,1040000,529499,0,529499
2864,TATANEXON,TATA,Bangalore,2019,11485,1,Diesel,734000,1113699,43150,1070549
2865,MARUTISWIFT,MARUTI,Bangalore,2018,19525,1,Petrol,1468000,659899,0,659899
2866,MARUTIEECO,MARUTI,Bangalore,2021,6852,1,Petrol,734000,539299,0,539299
2867,HYUNDAIELITE I20,HYUNDAI,Bangalore,2016,42917,1,Petrol,1040000,612999,12700,600299
2868,HYUNDAII10,HYUNDAI,Bangalore,2011,44721,2,Petrol,507000,333999,0,333999
2869,HYUNDAIVERNA,HYUNDAI,Bangalore,2013,50715,2,Petrol,362000,589799,23700,566099
2870,KIASONET,KIA,Bangalore,2020,13180,1,Petrol,948000,1442099,158200,1283899
2871,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2015,20854,2,Petrol,1040000,456099,0,456099
2872,MAHINDRAXUV500,MAHINDRA,Bangalore,2016,51926,2,Diesel,1040000,1276849,141550,1135299
2873,MARUTIEECO,MARUTI,Bangalore,2021,7301,1,Petrol,734000,548199,0,548199
2874,HYUNDAIAURA,HYUNDAI,Bangalore,2020,23540,1,Petrol,507000,810799,0,810799
2875,MARUTISWIFT,MARUTI,Bangalore,2017,20367,1,Petrol,338000,642799,0,642799
2876,MARUTISWIFT,MARUTI,Bangalore,2019,61716,1,Diesel,715000,874199,13700,860499
2877,HYUNDAII20,HYUNDAI,Bangalore,2010,78373,2,Petrol,507000,337499,0,337499
2878,HYUNDAIELITE I20,HYUNDAI,Bangalore,2020,22162,2,Petrol,715000,773899,0,773899
2879,SKODARAPID,SKODA,Bangalore,2012,49860,2,Petrol,362000,495999,0,495999
2880,TATATIAGO,TATA,Bangalore,2019,14792,1,Petrol,734000,595799,53500,542299
2881,MARUTICELERIO,MARUTI,Bangalore,2018,27802,2,Petrol,338000,504699,10900,493799
2882,KIASELTOS,KIA,Bangalore,2020,23155,1,Petrol,715000,1297799,50850,1246949
2883,HYUNDAIEON,HYUNDAI,Bangalore,2012,58741,1,Petrol,362000,268199,0,268199
2884,RENAULTKWID,RENAULT,Bangalore,2018,18887,2,Petrol,338000,399399,15400,383999
2885,MARUTIEECO,MARUTI,Bangalore,2021,15946,1,Petrol,468000,551799,0,551799
2886,HONDABRIO,HONDA,Bangalore,2012,72063,2,Petrol,362000,351499,10100,341399
2887,MARUTISWIFT,MARUTI,Bangalore,2019,17248,1,Petrol,734000,757299,14200,743099
2888,MARUTISWIFT DZIRE,MARUTI,Bangalore,2014,50960,1,Petrol,1040000,548799,0,548799
2889,MARUTIVITARA BREZZA,MARUTI,Bangalore,2017,36290,2,Diesel,740000,885899,0,885899
2890,MARUTISWIFT,MARUTI,Bangalore,2016,31126,2,Petrol,1040000,552599,0,552599
2891,TATATIAGO,TATA,Bangalore,2019,18177,1,Petrol,734000,662899,58100,604799
2892,MAHINDRAXUV500,MAHINDRA,Bangalore,2019,66202,1,Diesel,715000,1644099,149300,1494799
2893,HYUNDAII10,HYUNDAI,Bangalore,2012,54774,1,Petrol,362000,374599,0,374599
2894,RENAULTTRIBER,RENAULT,Bangalore,2021,5948,2,Petrol,734000,851999,30600,821399
2895,MARUTISWIFT,MARUTI,Bangalore,2014,43210,1,Diesel,362000,612399,5000,607399
2896,TATATIAGO,TATA,Bangalore,2019,14752,2,Petrol,338000,527699,0,527699
2897,MARUTIBALENO,MARUTI,Bangalore,2021,9521,1,Petrol,734000,957499,5900,951599
2898,HYUNDAIEON,HYUNDAI,Bangalore,2015,16902,1,Petrol,362000,345899,5000,340899
2899,HONDACITY,HONDA,Bangalore,2012,59732,2,Petrol,362000,515699,0,515699
2900,HYUNDAICRETA,HYUNDAI,Bangalore,2019,17949,1,Petrol,734000,1479599,63300,1416299
2901,HONDACITY,HONDA,Bangalore,2020,13296,2,Petrol,734000,1540099,190300,1349799
2902,HYUNDAII10,HYUNDAI,Bangalore,2010,80684,2,Petrol,507000,310999,0,310999
2903,HYUNDAIEON,HYUNDAI,Bangalore,2012,64391,2,Petrol,362000,276499,0,276499
2904,RENAULTKWID,RENAULT,Bangalore,2019,15966,2,Petrol,734000,485099,45600,439499
2905,HYUNDAIELITE I20,HYUNDAI,Bangalore,2020,15509,2,Petrol,734000,859399,33000,826399
2906,HONDABRIO,HONDA,Bangalore,2012,69253,1,Petrol,362000,376099,5000,371099
2907,KIASONET,KIA,Bangalore,2020,15149,1,Petrol,948000,1442099,137800,1304299
2908,VOLKSWAGENPOLO,VOLKSWAGEN,Bangalore,2015,56312,1,Petrol,362000,668299,16500,651799
2909,MARUTICELERIO,MARUTI,Bangalore,2015,46601,2,Petrol,280000,453799,0,453799
2910,TATAALTROZ,TATA,Bangalore,2021,5854,1,Petrol,734000,887399,0,887399
2911,MARUTICELERIO,MARUTI,Bangalore,2016,53135,1,Petrol,362000,484199,0,484199
2912,TOYOTAETIOS LIVA,TOYOTA,Bangalore,2017,33893,3,Petrol,338000,594699,5000,589699
2913,MARUTISWIFT,MARUTI,Bangalore,2018,87414,1,Diesel,715000,788299,30400,757899
2914,MARUTIEECO,MARUTI,Bangalore,2021,17660,1,Petrol,507000,536799,0,536799
2915,RENAULTDUSTER,RENAULT,Bangalore,2017,33220,1,Diesel,338000,1060099,38000,1022099
2916,MARUTISWIFT,MARUTI,Bangalore,2015,42708,1,Petrol,362000,523199,0,523199
2917,HONDABRIO,HONDA,Bangalore,2012,37409,2,Petrol,362000,379299,0,379299
2918,KIASONET,KIA,Bangalore,2020,12985,1,Petrol,734000,1367199,152500,1214699
2919,MARUTIALTO 800,MARUTI,Bangalore,2013,75267,1,Petrol,1040000,286699,0,286699
2920,HONDAAMAZE,HONDA,Bangalore,2019,20620,2,Petrol,1698000,846579,0,846579
2921,HONDAAMAZE,HONDA,Bangalore,2015,34051,1,Petrol,362000,518699,5000,513699
2922,SKODARAPID,SKODA,Bangalore,2014,51091,1,Diesel,362000,517499,0,517499
2923,MAHINDRASCORPIO,MAHINDRA,Bangalore,2014,79924,2,Diesel,362000,989299,0,989299
2924,KIASONET,KIA,Bangalore,2020,15228,2,Petrol,948000,1417599,115400,1302199
2925,VOLKSWAGENPOLO,VOLKSWAGEN,Bangalore,2018,64517,1,Petrol,507000,649899,0,649899
2926,MARUTIALTO K10,MARUTI,Bangalore,2018,6338,1,Petrol,338000,440499,5000,435499
2927,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,43791,1,Diesel,507000,1522399,193400,1328999
2928,MARUTISWIFT,MARUTI,Bangalore,2016,47034,1,Diesel,362000,660199,7300,652899
2929,MARUTISWIFT,MARUTI,Bangalore,2014,71013,1,Diesel,1040000,658399,0,658399
2930,MARUTIWAGON R 1.0,MARUTI,Bangalore,2015,21575,1,Petrol,362000,453599,26300,427299
2931,HONDAAMAZE,HONDA,Bangalore,2014,76347,2,Petrol,362000,512299,37300,474999
2932,MARUTISWIFT DZIRE,MARUTI,Bangalore,2013,84755,2,Petrol,1040000,545299,0,545299
2933,RENAULTKWID,RENAULT,Bangalore,2016,17147,1,Petrol,362000,378299,0,378299
2934,RENAULTDUSTER,RENAULT,Bangalore,2021,17588,1,Petrol,507000,1174899,8100,1166799
2935,HYUNDAICRETA,HYUNDAI,Bangalore,2016,83706,2,Petrol,644000,836199,33800,802399
2936,MARUTIRITZ,MARUTI,Bangalore,2012,55601,1,Petrol,1040000,364699,0,364699
2937,MARUTISWIFT,MARUTI,Bangalore,2013,52412,1,Diesel,362000,593299,12500,580799
2938,MARUTISWIFT,MARUTI,Bangalore,2014,51228,1,Petrol,362000,496599,0,496599
2939,KIASONET,KIA,Bangalore,2020,20555,1,Petrol,715000,1270999,16600,1254399
2940,MARUTICELERIO,MARUTI,Bangalore,2015,60581,1,Petrol,362000,449099,0,449099
2941,MARUTIIGNIS,MARUTI,Bangalore,2022,319,1,Petrol,948000,620699,0,620699
2942,MARUTISWIFT,MARUTI,Bangalore,2017,12859,1,Petrol,740000,697099,0,697099
2943,MARUTISWIFT,MARUTI,Bangalore,2015,92960,2,Diesel,204000,560099,0,560099
2944,MARUTISWIFT,MARUTI,Bangalore,2014,40504,1,Petrol,1040000,597999,0,597999
2945,MARUTIWAGON R 1.0,MARUTI,Bangalore,2011,80941,1,Petrol,507000,296499,5000,291499
2946,MARUTIWAGON R 1.0,MARUTI,Bangalore,2012,67318,3,Petrol,362000,308399,15700,292699
2947,HYUNDAIEON,HYUNDAI,Bangalore,2015,36724,1,Petrol,140000,300099,5700,294399
2948,MAHINDRAXUV 3OO,MAHINDRA,Bangalore,2019,32137,1,Diesel,715000,1104099,0,1104099
2949,MARUTIALTO K10,MARUTI,Bangalore,2013,62441,2,Petrol,362000,284699,7400,277299
2950,MAHINDRAXUV500,MAHINDRA,Bangalore,2015,77205,1,Diesel,204000,1086399,0,1086399
2951,HYUNDAIELITE I20,HYUNDAI,Bangalore,2020,30960,1,Petrol,507000,843699,5000,838699
2952,KIASELTOS,KIA,Bangalore,2020,12464,1,Petrol,948000,1759699,52000,1707699
2953,MARUTISWIFT,MARUTI,Bangalore,2015,41053,1,Petrol,362000,524699,0,524699
2954,MARUTISWIFT DZIRE,MARUTI,Bangalore,2014,69716,1,Petrol,1040000,512499,0,512499
2955,FORDECOSPORT,FORD,Bangalore,2015,50037,2,Petrol,362000,715599,0,715599
2956,MARUTIBALENO,MARUTI,Bangalore,2018,11467,1,Petrol,740000,760499,29100,731399
2957,HYUNDAIEON,HYUNDAI,Bangalore,2014,67334,1,Petrol,362000,286999,0,286999
2958,MARUTIALTO K10,MARUTI,Bangalore,2012,43282,1,Petrol,362000,293599,0,293599
2959,HYUNDAIELITE I20,HYUNDAI,Bangalore,2014,30747,1,Petrol,1040000,582899,0,582899
2960,HYUNDAICRETA,HYUNDAI,Bangalore,2021,8087,1,Petrol,948000,1905599,160800,1744799
2961,HYUNDAIVERNA,HYUNDAI,Bangalore,2015,21560,1,Petrol,362000,729599,16200,713399
2962,HYUNDAIEON,HYUNDAI,Bangalore,2018,13842,2,Petrol,338000,429999,13400,416599
2963,MARUTISWIFT DZIRE,MARUTI,Bangalore,2013,86892,1,Diesel,362000,582599,22000,560599
2964,HONDAAMAZE,HONDA,Bangalore,2018,10392,1,Petrol,338000,821899,5000,816899
2965,MARUTISWIFT,MARUTI,Bangalore,2011,90834,2,Diesel,507000,369299,0,369299
2966,MARUTINEW  WAGON-R,MARUTI,Bangalore,2019,28450,2,Petrol,734000,545099,9700,535399
2967,HYUNDAIELITE I20,HYUNDAI,Bangalore,2016,27789,1,Petrol,1040000,638399,5000,633399
2968,HYUNDAIEON,HYUNDAI,Bangalore,2012,96449,3,Petrol,362000,263499,0,263499
2969,MGHECTOR,MG,Bangalore,2021,10284,1,Petrol,507000,2014899,218400,1796499
2970,MARUTISWIFT,MARUTI,Bangalore,2017,84738,2,Diesel,204000,621899,32500,589399
2971,HONDAJAZZ,HONDA,Bangalore,2015,36582,2,Petrol,362000,631799,0,631799
2972,MARUTIALTO 800,MARUTI,Bangalore,2013,33700,1,Petrol,1040000,314099,0,314099
2973,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2014,34871,1,Petrol,362000,460699,0,460699
2974,RENAULTTRIBER,RENAULT,Bangalore,2019,22123,1,Petrol,734000,719299,0,719299
2975,MARUTIALTO 800,MARUTI,Bangalore,2013,30618,1,Petrol,1040000,325299,0,325299
2976,RENAULTTRIBER,RENAULT,Bangalore,2020,21586,1,Petrol,507000,710299,21600,688699
2977,MARUTISWIFT,MARUTI,Bangalore,2018,52203,2,Petrol,507000,702199,0,702199
2978,TATATIAGO,TATA,Bangalore,2016,52529,1,Petrol,362000,504199,7100,497099
2979,MARUTISWIFT,MARUTI,Bangalore,2013,69201,2,Diesel,362000,503899,17100,486799
2980,MARUTIRITZ,MARUTI,Bangalore,2015,57109,1,Petrol,520000,468499,0,468499
2981,HYUNDAIELITE I20,HYUNDAI,Bangalore,2015,32587,2,Petrol,362000,667899,5000,662899
2982,HYUNDAIVERNA,HYUNDAI,Bangalore,2015,23313,1,Petrol,362000,633399,0,633399
2983,HYUNDAIVERNA,HYUNDAI,Bangalore,2014,68244,2,Diesel,362000,636499,0,636499
2984,MARUTIALTO 800,MARUTI,Bangalore,2013,70861,2,Petrol,362000,289299,0,289299
2985,KIASELTOS,KIA,Bangalore,2019,18541,1,Petrol,948000,1649399,56200,1593199
2986,MAHINDRAXUV500,MAHINDRA,Bangalore,2017,60108,2,Diesel,630000,1259499,50500,1208999
2987,MARUTIDZIRE,MARUTI,Bangalore,2017,81130,2,Diesel,507000,743399,0,743399
2988,HYUNDAII10,HYUNDAI,Bangalore,2012,96600,1,Petrol,362000,323999,0,323999
2989,MARUTISWIFT,MARUTI,Bangalore,2015,98094,2,Petrol,204000,534199,0,534199
2990,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,51299,1,Diesel,630000,1470399,147200,1323199
2991,MARUTIWAGON R 1.0,MARUTI,Bangalore,2011,72850,1,Petrol,507000,331899,0,331899
2992,RENAULTKWID,RENAULT,Bangalore,2019,9448,1,Petrol,734000,546499,0,546499
2993,HYUNDAICRETA,HYUNDAI,Bangalore,2019,27139,1,Petrol,948000,1461499,51850,1409649
2994,MARUTISWIFT,MARUTI,Bangalore,2018,17992,1,Petrol,740000,784799,5000,779799
2995,TATAHARRIER,TATA,Bangalore,2021,26603,1,Diesel,715000,2127599,99300,2028299
2996,MARUTIALTO K10,MARUTI,Bangalore,2013,61994,2,Petrol,280000,298299,10600,287699
2997,HYUNDAICRETA,HYUNDAI,Bangalore,2016,44322,2,Petrol,1040000,914099,0,914099
2998,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2020,13381,1,Petrol,734000,620699,0,620699
2999,MARUTIVITARA BREZZA,MARUTI,Bangalore,2016,82895,1,Diesel,204000,884299,17600,866699
3000,TATATIAGO,TATA,Bangalore,2016,97077,1,Petrol,507000,483799,0,483799
3001,MARUTIWAGON R 1.0,MARUTI,Bangalore,2017,11785,2,Petrol,338000,475599,30900,444699
3002,HONDAJAZZ,HONDA,Bangalore,2010,86713,2,Petrol,507000,328599,0,328599
3003,HYUNDAICRETA,HYUNDAI,Bangalore,2021,15610,1,Petrol,715000,1842099,120200,1721899
3004,MARUTISWIFT,MARUTI,Bangalore,2018,23159,1,Petrol,740000,655999,0,655999
3005,HYUNDAICRETA,HYUNDAI,Bangalore,2016,78165,2,Diesel,644000,960599,9200,951399
3006,MARUTICELERIO,MARUTI,Bangalore,2016,89986,1,Petrol,204000,465399,5000,460399
3007,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2019,12126,1,Petrol,734000,617299,36000,581299
3008,MARUTINEW  WAGON-R,MARUTI,Bangalore,2019,33369,2,Petrol,507000,535999,6700,529299
3009,MARUTICELERIO,MARUTI,Bangalore,2016,54290,1,Petrol,362000,536299,16100,520199
3010,HONDACITY,HONDA,Bangalore,2016,85026,2,Petrol,204000,694399,36700,657699
3011,HYUNDAICRETA,HYUNDAI,Bangalore,2018,19535,1,Petrol,740000,1035199,0,1035199
3012,MARUTIVITARA BREZZA,MARUTI,Bangalore,2018,38592,2,Diesel,740000,1050799,30700,1020099
3013,MARUTIALTO 800,MARUTI,Bangalore,2013,58238,2,Petrol,362000,287899,0,287899
3014,HYUNDAICRETA,HYUNDAI,Bangalore,2018,24880,1,Petrol,740000,1462399,184000,1278399
3015,MARUTIALTO 800,MARUTI,Bangalore,2017,15568,2,Petrol,740000,321999,0,321999
3016,DATSUNREDI GO,DATSUN,Bangalore,2016,59857,1,Petrol,280000,291999,14300,277699
3017,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2015,16975,1,Petrol,1040000,564599,0,564599
3018,MARUTISWIFT,MARUTI,Bangalore,2017,64300,1,Petrol,507000,610299,10500,599799
3019,MARUTICELERIO,MARUTI,Bangalore,2015,41383,2,Petrol + CNG,362000,425899,0,425899
3020,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2020,7399,1,Petrol,948000,554099,13800,540299
3021,FORDECOSPORT,FORD,Bangalore,2019,30038,1,Diesel,734000,1153399,38200,1115199
3022,HYUNDAIGRAND I10 NIOS,HYUNDAI,Bangalore,2020,7680,1,Petrol,948000,712299,0,712299
3023,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,89232,1,Diesel,715000,1537299,19200,1518099
3024,HONDAAMAZE,HONDA,Bangalore,2015,36370,2,Petrol,362000,498499,31500,466999
3025,MARUTISWIFT,MARUTI,Bangalore,2017,63007,1,Diesel,630000,736999,0,736999
3026,HONDABRIO,HONDA,Bangalore,2017,30699,1,Petrol,362000,550899,0,550899
3027,HYUNDAIVERNA,HYUNDAI,Bangalore,2017,33094,2,Petrol,362000,747599,31300,716299
3028,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2016,18219,1,Petrol,1040000,540499,0,540499
3029,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2018,9631,1,Petrol,740000,657399,0,657399
3030,MARUTICELERIO,MARUTI,Bangalore,2019,51798,1,Petrol,507000,519699,0,519699
3031,HYUNDAICRETA,HYUNDAI,Bangalore,2016,65034,2,Diesel,644000,1160399,54900,1105499
3032,MARUTIWAGON R 1.0,MARUTI,Bangalore,2010,73357,2,Petrol,507000,316799,5000,311799
3033,MARUTICIAZ,MARUTI,Bangalore,2015,86697,1,Diesel,204000,690899,0,690899
3034,MGHECTOR,MG,Bangalore,2021,7258,1,Petrol,948000,1999199,210100,1789099
3035,RENAULTDUSTER,RENAULT,Bangalore,2016,56140,1,Diesel,362000,878199,0,878199
3036,HYUNDAIELITE I20,HYUNDAI,Bangalore,2019,16188,1,Petrol,948000,856799,0,856799
3037,MARUTISWIFT,MARUTI,Bangalore,2018,59220,1,Petrol,507000,724499,32100,692399
3038,MARUTIALTO K10,MARUTI,Bangalore,2013,57782,3,Petrol,362000,267399,14500,252899
3039,TATANEXON,TATA,Bangalore,2019,37159,1,Petrol,507000,790699,17300,773399
3040,RENAULTDUSTER,RENAULT,Bangalore,2019,49101,1,Diesel,507000,1053099,90800,962299
3041,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2016,18718,3,Petrol,362000,501099,5000,496099
3042,HONDAJAZZ,HONDA,Bangalore,2019,6724,1,Petrol,948000,962699,0,962699
3043,HYUNDAIELITE I20,HYUNDAI,Bangalore,2015,29905,1,Petrol,362000,683099,6900,676199
3044,HYUNDAIEON,HYUNDAI,Bangalore,2018,13890,2,Petrol,338000,402499,0,402499
3045,TOYOTAGLANZA,TOYOTA,Bangalore,2021,4993,1,Petrol,734000,954399,40900,913499
3046,RENAULTDUSTER,RENAULT,Bangalore,2016,53436,1,Diesel,362000,876399,48500,827899
3047,MARUTISWIFT,MARUTI,Bangalore,2017,61408,1,Petrol,507000,645499,0,645499
3048,RENAULTDUSTER,RENAULT,Bangalore,2018,13448,3,Petrol,338000,924899,17800,907099
3049,MARUTIWAGON R 1.0,MARUTI,Bangalore,2018,24077,2,Petrol,338000,506399,29300,477099
3050,HYUNDAIEON,HYUNDAI,Bangalore,2014,56153,2,Petrol,280000,348899,0,348899
3051,KIASELTOS,KIA,Bangalore,2019,19414,1,Petrol,948000,1894599,56250,1838349
3052,HYUNDAIGRAND I10 NIOS,HYUNDAI,Bangalore,2019,27194,1,Petrol,734000,723999,0,723999
3053,HONDAJAZZ,HONDA,Bangalore,2015,26129,2,Petrol,362000,567699,0,567699
3054,MARUTIBALENO,MARUTI,Bangalore,2019,31323,1,Diesel,507000,898899,46000,852899
3055,MARUTIALTO K10,MARUTI,Bangalore,2014,23981,1,Petrol,362000,332599,16000,316599
3056,HYUNDAIEON,HYUNDAI,Bangalore,2016,24885,1,Petrol,280000,335999,0,335999
3057,MARUTIEECO,MARUTI,Bangalore,2018,19291,1,Petrol,338000,487399,0,487399
3058,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2014,37959,1,Petrol,362000,509399,0,509399
3059,MARUTISWIFT,MARUTI,Bangalore,2018,59830,1,Petrol,507000,717999,28800,689199
3060,HYUNDAIVERNA,HYUNDAI,Bangalore,2014,93865,1,Diesel,204000,662399,0,662399
3061,MARUTICELERIO,MARUTI,Bangalore,2019,62555,1,Petrol,507000,557649,34750,522899
3062,MARUTICELERIO,MARUTI,Bangalore,2015,19801,1,Petrol,520000,467399,8750,458649
3063,HONDACITY,HONDA,Bangalore,2015,58095,1,Petrol,362000,672499,11200,661299
3064,HYUNDAICRETA,HYUNDAI,Bangalore,2018,21426,2,Petrol,740000,1214399,0,1214399
3065,FORDECOSPORT,FORD,Bangalore,2021,9268,1,Petrol,734000,1241399,53200,1188199
3066,JEEPCOMPASS,JEEP,Bangalore,2018,13092,1,Diesel,338000,1737099,138800,1598299
3067,HYUNDAIVERNA,HYUNDAI,Bangalore,2018,16526,1,Petrol,740000,1217899,0,1217899
3068,MARUTISWIFT,MARUTI,Bangalore,2018,49720,1,Petrol,630000,680299,0,680299
3069,TOYOTACOROLLA ALTIS,TOYOTA,Bangalore,2015,45053,2,Petrol,362000,1009199,45400,963799
3070,MARUTIWAGON R 1.0,MARUTI,Bangalore,2015,37740,1,Petrol,362000,420299,18800,401499
3071,MARUTIBALENO,MARUTI,Bangalore,2020,14051,2,Petrol,948000,759299,0,759299
3072,MARUTIALTO K10,MARUTI,Bangalore,2018,12343,1,Petrol,338000,438799,22200,416599
3073,HONDACITY,HONDA,Bangalore,2020,19424,1,Petrol,948000,1446599,72600,1373999
3074,TATATIAGO,TATA,Bangalore,2018,29576,1,Petrol,740000,522799,0,522799
