,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price
1018,HONDAAMAZE,HONDA,Noida,2016,16400,1,Petrol,181000,576099,11550,564549
1019,RENAULTKWID,RENAULT,Gurgaon,2020,25880,1,Petrol,367000,462599,0,462599
1020,HYUNDAIGRAND I10,HYUNDAI,New Delhi,2018,62638,1,Petrol,507000,487799,40300,447499
1021,MARUTISWIFT DZIRE,MARUTI,New Delhi,2013,71384,1,Petrol,181000,349699,0,349699
1022,MARUTINEW  WAGON-R,MARUTI,New Delhi,2022,11354,1,Petrol + CNG,507000,655499,0,655499
1023,MARUTIBALENO,MARUTI,Ghaziabad,2020,46168,2,Petrol,507000,578899,9200,569699
1024,RENAULTKWID,RENAULT,Gurgaon,2018,47627,2,Petrol,507000,326299,0,326299
1025,MARUTICIAZ,MARUTI,New Delhi,2014,60964,1,Petrol,181000,584699,0,584699
1026,TATATIAGO,TATA,Gurgaon,2021,16183,1,Petrol,715000,590399,0,590399
1027,MARUTIALTO,MARUTI,Noida,2021,1791,1,Petrol,367000,432499,20000,412499
1028,MARUTIALTO 800,MARUTI,New Delhi,2018,1298,1,Petrol,169000,342599,11500,331099
1029,MARUTINEW  WAGON-R,MARUTI,New Delhi,2021,20558,1,Petrol + CNG,507000,669999,12200,657799
1030,KIASONET,KIA,New Delhi,2020,28171,1,Petrol,715000,1335799,58000,1277799
1031,MARUTISWIFT,MARUTI,Gurgaon,2018,11890,1,Petrol,169000,673299,5000,668299
1032,MARUTINEW  WAGON-R,MARUTI,Gurgaon,2019,22748,1,Petrol,367000,530999,0,530999
1033,HONDACITY,HONDA,Gurgaon,2010,47404,2,Petrol,72000,320799,0,320799
1034,MAHINDRATHAR,MAHINDRA,Gurgaon,2022,3861,1,Petrol,474000,1771399,127400,1643999
1035,MARUTIWAGON R 1.0,MARUTI,Gurgaon,2018,14072,1,Petrol,468000,488399,5000,483399
1036,HYUNDAIXCENT,HYUNDAI,Noida,2018,27675,1,Petrol,468000,508699,20500,488199
1037,RENAULTKWID,RENAULT,New Delhi,2020,24120,1,Petrol,367000,450699,0,450699
1038,HONDAJAZZ,HONDA,Gurgaon,2019,8594,2,Petrol,367000,874199,26300,847899
1039,TATAHARRIER,TATA,Ghaziabad,2021,5330,1,Diesel,474000,2042999,17800,2025199
1040,HYUNDAIVENUE,HYUNDAI,New Delhi,2021,16258,1,Petrol,715000,894099,0,894099
1041,RENAULTKWID,RENAULT,New Delhi,2019,25040,2,Petrol,367000,360599,14200,346399
1042,TATAALTROZ,TATA,Gurgaon,2020,16787,1,Petrol,474000,822499,7900,814599
1043,DATSUNREDI GO,DATSUN,New Delhi,2019,21787,1,Petrol,468000,306699,5000,301699
1044,TATAALTROZ,TATA,Gurgaon,2021,22168,1,Petrol,715000,754199,21500,732699
1045,HONDABRIO,HONDA,Ghaziabad,2012,63063,1,Petrol,140000,283799,0,283799
1046,HONDAJAZZ,HONDA,Gurgaon,2016,55413,1,Petrol,181000,476999,18300,458699
1047,MARUTICELERIO,MARUTI,New Delhi,2016,33127,1,Petrol,181000,420299,0,420299
1048,MARUTISWIFT,MARUTI,New Delhi,2017,31272,1,Petrol,169000,455199,0,455199
1049,MAHINDRATHAR,MAHINDRA,Gurgaon,2021,4608,1,Petrol,367000,1696099,20000,1676099
1050,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,35173,1,Petrol,370000,943999,20500,923499
1051,HYUNDAII10,HYUNDAI,Gurgaon,2011,45437,1,Petrol,72000,266199,11700,254499
1052,HYUNDAIVENUE,HYUNDAI,New Delhi,2021,4509,1,Diesel,367000,1215699,112800,1102899
1053,MARUTIBALENO,MARUTI,Gurgaon,2020,4484,1,Petrol,468000,725599,0,725599
1054,TATAALTROZ,TATA,New Delhi,2020,18544,1,Petrol,474000,830899,5000,825899
1055,HYUNDAII10,HYUNDAI,New Delhi,2014,68664,1,Petrol,140000,335399,0,335399
1056,MARUTICELERIO,MARUTI,Gurgaon,2016,27097,1,Petrol,181000,460699,0,460699
1057,HONDACITY,HONDA,New Delhi,2015,59024,2,Petrol,181000,590799,7400,583399
1058,HONDAAMAZE,HONDA,New Delhi,2019,14394,2,Petrol,367000,692899,26500,666399
1059,HYUNDAII10,HYUNDAI,Gurgaon,2011,34924,1,Petrol,72000,236899,8600,228299
1060,MARUTIBALENO,MARUTI,New Delhi,2019,24690,2,Petrol,367000,659099,55000,604099
1061,HONDAAMAZE,HONDA,New Delhi,2018,11825,1,Petrol,169000,775999,8400,767599
1062,RENAULTKWID,RENAULT,Gurgaon,2021,16973,1,Petrol,507000,423699,5000,418699
1063,TATAALTROZ,TATA,New Delhi,2020,23053,1,Petrol,507000,812899,68600,744299
1064,HYUNDAII10,HYUNDAI,New Delhi,2012,85283,1,Petrol + CNG,140000,250049,0,250049
1065,FORDECOSPORT,FORD,Gurgaon,2017,38524,1,Petrol,169000,736199,0,736199
1066,HYUNDAICRETA,HYUNDAI,New Delhi,2016,75101,1,Petrol,322000,859199,0,859199
1067,MARUTISWIFT,MARUTI,New Delhi,2016,52261,2,Petrol,181000,407999,5000,402999
1068,KIASELTOS,KIA,Noida,2020,30301,1,Diesel,715000,1406799,118800,1287999
1069,MARUTIDZIRE,MARUTI,New Delhi,2020,15847,1,Petrol,367000,702199,0,702199
1070,RENAULTKWID,RENAULT,Ghaziabad,2019,25840,1,Petrol,367000,355199,5000,350199
1071,TATANEXON,TATA,Ghaziabad,2018,78374,1,Diesel,715000,743949,0,743949
1072,MARUTISWIFT DZIRE,MARUTI,New Delhi,2013,65810,1,Petrol,181000,339699,0,339699
1073,MARUTISWIFT,MARUTI,New Delhi,2018,16415,1,Petrol,169000,669199,25200,643999
1074,TATANEXON,TATA,Noida,2019,26642,1,Petrol,367000,961699,36550,925149
1075,HYUNDAIELITE I20,HYUNDAI,Gurgaon,2016,59143,2,Petrol,181000,473999,0,473999
1076,MARUTIS CROSS,MARUTI,New Delhi,2020,15407,1,Petrol,367000,1041599,97700,943899
1077,HONDAAMAZE,HONDA,New Delhi,2016,26440,1,Petrol,181000,562699,0,562699
1078,TATAALTROZ,TATA,New Delhi,2020,15011,1,Petrol,474000,827999,30000,797999
