,City,Car_Name,Maker,Variant,Year,Model,Fuel_Type,KM_Driven,ownerNumber,Listing_Price,Discount,Original_Price,Car_Id,Cash_Down_Payment,Ex_Showroom_Price,On_Road_Price,CalculatedScore
3872,Hyderabad,Hyundai NEW SANTRO,HYUNDAI,ASTA 1.1 MT,2018,NEW SANTRO,Petrol,5386,2,515599,12400,527999,10450794781,0,501701,515599,169000
3873,Hyderabad,Hyundai Elite i20,HYUNDAI,Magna Executive Diesel,2018,ELITE I20,Diesel,86280,2,639499,14000,653499,10428097736,0,625601,639499,715000
3874,Hyderabad,Hyundai Elite i20,HYUNDAI,ASTA 1.2,2016,ELITE I20,Petrol,46033,3,603199,11000,614199,10447992746,0,589301,603199,181000
3875,Hyderabad,Honda City,Honda,V MT PETROL,2015,City,Petrol,42350,2,694999,-11500,694999,10450374793,0,681101,694999,181000
3876,Hyderabad,Renault Kwid,Renault,1.0 RXT Opt AT,2018,Kwid,Petrol,43476,1,410799,-6000,410799,10460670791,0,398257,410799,169000
3877,Hyderabad,KIA SELTOS,KIA,HTK PLUS AT 1.5 DIESEL,2020,SELTOS,Diesel,57851,1,1300749,159850,1460599,10489492706,0,1286851,1300749,715000
3878,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2018,GRAND I10,Petrol,46262,2,521399,26100,547499,10461297727,0,507501,521399,507000
3879,Hyderabad,Hyundai NEW SANTRO,HYUNDAI,1.1 MAGNA MT,2019,NEW SANTRO,Petrol,19248,1,471799,31300,503099,10439593720,0,457901,471799,367000
3880,Hyderabad,Datsun Redi Go,Datsun,T (O),2017,Redi Go,Petrol,97419,2,298899,0,298899,10448770796,0,289211,298899,507000
3881,Hyderabad,Maruti Ciaz,Maruti,ZXI,2016,Ciaz,Petrol,87383,1,683199,-19400,683199,10454777793,0,673511,683199,102000
3882,Hyderabad,Honda Brio,Honda,1.2 S MT I VTEC,2013,Brio,Petrol,74046,2,380099,-4800,380099,10467991760,0,366201,380099,181000
3883,Hyderabad,Maruti Alto 800,MARUTI,LXI,2018,ALTO 800,Petrol,14511,3,327699,20000,347699,10479092792,0,315157,327699,169000
3884,Hyderabad,Maruti Swift,MARUTI,ZXI+,2018,SWIFT,Petrol,80289,1,676699,11800,688499,10441598743,0,662801,676699,507000
3885,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2016,GRAND I10,Petrol,57315,1,448099,23500,471599,10474696734,0,434201,448099,181000
3886,Hyderabad,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT,2013,Grand i10,Petrol,34623,1,428599,5000,433599,10465172799,0,414701,428599,181000
